EventID,Edep_MeV,Energy_keV,#PE,#NoisePE,SignalPE
50479,0.2152605549191579,200,124,32,92
50480,0.2152406733924174,200,165,56,109
50481,0.2152384026861877,200,103,20,83
50482,0.21520923856672708,200,126,37,89
50483,0.21500189763575295,200,133,39,94
50484,0.21514249136448124,200,129,21,108
50485,0.21538659515317465,200,115,23,92
50486,0.21492478061345008,200,133,33,100
50487,0.21516381959540368,200,133,42,91
50488,0.21518866234037815,200,122,26,96
50489,0.21467914178556,200,134,35,99
50980,0.21494281865623846,200,131,39,92
50981,0.21512687505811207,200,114,31,83
50982,0.2154072244381791,200,110,24,86
50983,0.21509303270555705,200,110,24,86
50984,0.21486295400578148,200,121,35,86
50985,0.21540100341800325,200,126,29,97
50986,0.21494817696317353,200,113,24,89
50987,0.21494773177620946,200,127,34,93
50988,0.21491028224948144,200,116,31,85
50989,0.21504560053644264,200,109,38,71
50990,0.21509075889949344,200,97,17,80
50991,0.21520509285667916,200,118,25,93
50992,0.21515394955514827,200,109,15,94
50993,0.2147745110756715,200,105,25,80
50994,0.21529743516403696,200,94,11,83
50995,0.21524560013041633,200,129,38,91
50996,0.21538018845152418,200,136,39,97
50997,0.21540820928149448,200,149,45,104
50998,0.2150299401068683,200,133,45,88
50999,0.21518255426029165,200,143,44,99
51000,0.15677909705495346,200,83,24,59
51001,0.2149626284000945,200,116,31,85
51002,0.21499955320279224,200,126,29,97
51003,0.21557653797257217,200,153,43,110
51004,0.21529847085335235,200,148,42,106
51006,0.21483940133017734,200,124,25,99
51007,0.215141663938438,200,114,36,78
51008,0.21541779678486347,200,142,41,101
51009,0.21560917106466998,200,127,35,92
51010,0.21534463146334965,200,142,37,105
51011,0.2152382963071147,200,136,35,101
51012,0.21541691790890477,200,118,31,87
51013,0.21507318367311096,200,114,29,85
51014,0.21508041102379952,200,144,43,101
51016,0.21529857677118908,200,137,43,94
51017,0.21527190753729908,200,108,30,78
51018,0.21504413734975522,200,147,44,103
51019,0.21508757056567504,200,112,23,89
51020,0.21535555971195555,200,113,26,87
51021,0.21528743803739697,200,123,26,97
51022,0.21561296241156583,200,143,36,107
51023,0.21480260458042397,200,111,29,82
51024,0.21528823354339316,200,124,31,93
51025,0.21470406044877471,200,133,33,100
51026,0.21547546323171207,200,139,41,98
51027,0.21519997284217535,200,119,34,85
51028,0.21529284865083415,200,129,37,92
51029,0.21494637271594058,200,160,44,116
51030,0.21541750426187625,200,126,26,100
51032,0.2153433081946718,200,133,29,104
51033,0.21495952975653193,200,133,25,108
51034,0.21502269644327118,200,127,41,86
51035,0.2153303771149918,200,132,21,111
51036,0.21512988702794314,200,137,39,98
51037,0.21536148394555948,200,112,31,81
51038,0.21548943230958884,200,128,39,89
51039,0.15813905536936185,200,109,27,82
51040,0.21533971517509432,200,115,17,98
51041,0.21516838830263638,200,114,27,87
51042,0.21523585206100845,200,158,40,118
51043,0.21510738186258338,200,157,49,108
51044,0.21486127398418745,200,156,51,105
51045,0.21510136349991504,200,106,22,84
51046,0.2150436249215593,200,164,45,119
51047,0.21509890975281568,200,134,31,103
51048,0.21526679523630665,200,134,40,94
51049,0.21542425858711536,200,154,38,116
51400,0.21501795163026954,200,132,28,104
51401,0.2150630706096619,200,117,26,91
51402,0.21512829051646026,200,118,33,85
51403,0.2151016068526265,200,129,30,99
51404,0.21505910927961633,200,142,39,103
51405,0.21505696848557268,200,132,38,94
51406,0.21532131658693418,200,94,22,72
51407,0.2149926059256652,200,135,28,107
51408,0.21527320370266037,200,131,41,90
51409,0.21534897061551472,200,115,29,86
51410,0.21553168201018755,200,127,33,94
51411,0.21550147661086172,200,127,29,98
51412,0.21520852756451112,200,108,24,84
51413,0.215103832834258,200,112,24,88
51414,0.21538455310921711,200,124,29,95
51415,0.21543766597690292,200,120,26,94
51416,0.21500682895000975,200,126,35,91
51417,0.2153363587784917,200,127,25,102
51418,0.2150040031100041,200,147,53,94
51419,0.21508836620007005,200,131,30,101
51420,0.21532570799805925,200,124,24,100
51421,0.2153335340659424,200,133,31,102
51422,0.21522630019771175,200,122,27,95
51423,0.21544029955119945,200,153,39,114
51424,0.21475800736729184,200,124,30,94
51425,0.02687743755299655,200,18,4,14
51426,0.21524517057557976,200,136,26,110
51427,0.21511542286233928,200,109,26,83
