EventID,Edep_MeV,Energy_keV,#PE,#NoisePE,SignalPE
355652,0.40947672159283793,800,286,91,195
355654,0.861059316791406,800,501,119,382
355662,0.8608742529754975,800,578,151,427
355663,0.8602693629619799,800,478,117,361
355668,0.46710844280934416,800,311,79,232
356230,0.21977106820707884,800,140,38,102
356234,0.8607348791956788,800,545,142,403
356236,0.12199336348264486,800,74,26,48
356240,0.27168661505628316,800,155,38,117
356242,0.45684747116155383,800,286,63,223
356245,0.2684491705231238,800,134,21,113
356247,0.8607460201694992,800,494,125,369
356250,0.6382345037512954,800,371,97,274
356252,0.8603399911684851,800,505,111,394
356253,0.14556437390507232,800,75,13,62
356254,0.1740187296809366,800,97,21,76
356258,0.8605563111306942,800,487,128,359
356259,0.860590464744013,800,497,122,375
356260,0.22533065538810343,800,136,35,101
356264,0.8608772268020632,800,496,108,388
356267,0.06150776922256294,800,45,12,33
356271,0.8611083727938548,800,515,136,379
356276,0.8612196056079979,800,522,109,413
356278,0.4298373288391799,800,267,72,195
356280,0.4755256380115508,800,308,67,241
356281,0.8608198085739724,800,515,123,392
356282,0.8609366072137903,800,475,110,365
356283,0.8605343499196868,800,484,111,373
356284,0.0410917943849294,800,21,5,16
356286,0.6057732292947473,800,380,105,275
356289,0.8602916734329785,800,481,117,364
356292,0.8614376530344541,800,487,113,374
356297,0.22649936909146362,800,149,34,115
356298,0.8606890093153047,800,558,149,409
356867,0.8606400403621405,800,501,127,374
356872,0.16499846498539578,800,80,13,67
356873,0.8605565601694011,800,497,128,369
356874,0.8609020382561078,800,476,93,383
356876,0.8597653718405535,800,548,117,431
356877,0.01461741302956784,800,4,2,2
356878,0.8606032155441131,800,546,131,415
356880,0.8610336325222899,800,535,143,392
356883,0.8602185294476212,800,551,138,413
356893,0.8606498735505659,800,487,120,367
356895,0.8607526239675287,800,484,132,352
356896,0.43123384946185433,800,278,69,209
356897,0.8607456627789155,800,568,153,415
356898,0.24233275167726398,800,140,33,107
356900,0.860922327229839,800,512,137,375
356901,0.8608214040844502,800,513,128,385
356905,0.8605263623718433,800,516,131,385
356907,0.8604912099876377,800,447,113,334
356909,0.5965396736998303,800,375,101,274
356910,0.8612964113724282,800,449,89,360
356912,0.3098791414544885,800,170,41,129
356914,0.8604241741364879,800,513,117,396
356918,0.002209641097635116,800,1,0,1
356920,0.8610780993404319,800,536,136,400
356921,0.5800804741382016,800,357,88,269
356924,0.8609663860649575,800,468,111,357
356926,0.8604724968756965,800,493,131,362
356927,0.26356047020512957,800,167,39,128
356928,0.13206508309763706,800,85,20,65
357700,0.860489181150744,800,518,143,375
357701,0.1629813689369909,800,94,29,65
357702,0.05430636885887135,800,30,8,22
357703,0.8602377131206552,800,540,142,398
357704,0.016016542696724794,800,12,5,7
357707,0.4950403840730921,800,275,70,205
357708,0.2311482361861307,800,122,35,87
357710,0.09121944516453835,800,48,13,35
357713,0.8607649534992091,800,486,113,373
357714,0.4410603098669936,800,261,52,209
357715,0.8607804086794765,800,497,132,365
357717,0.6040020946238764,800,361,91,270
357718,0.3756964690332316,800,196,51,145
357719,0.8606332915561462,800,536,145,391
357720,0.8608736356238244,800,513,135,378
357721,0.30626392763847676,800,182,41,141
357722,0.8610963133308678,800,495,110,385
357725,0.39892047888693666,800,239,54,185
357727,0.20898454578997286,800,114,27,87
357728,0.8600244984699505,800,500,137,363
357731,0.2950411281703795,800,174,41,133
357735,0.8614574196102418,800,500,124,376
357738,0.3749216841829412,800,229,59,170
357739,0.861083019138883,800,516,116,400
357741,0.8611920452804196,800,491,109,382
357746,0.02896250066308154,800,8,2,6
357749,0.861173333289289,800,500,120,380
357750,0.85999089930039,800,547,135,412
357751,0.5462896107453652,800,277,69,208
357752,0.23613272437276497,800,151,40,111
