Wavelength,Normalized_Yield
453.86717,0.007769089847444906
454.42665,0.007547280897199194
455.5456,0.007325471933247344
456.66455,0.007103662969295494
457.22403,0.0068818540190497815
457.78351,0.006660045055097932
458.90246,0.006438236091146081
459.46194,0.006216427140900369
460.02142,0.005994618176948518
460.58089,0.005772809212996668
461.69985,0.005551000262750956
462.25933,0.005329191298799106
463.37828,0.0051073823348472555
463.93776,0.004885573384601543
465.61619,0.004663764420649693
467.29462,0.004441955456697843
467.8541,0.00422014650645213
468.41358,0.00399833754250028
470.09201,0.00377652857854843
470.65149,0.003554719628302718
472.88939,0.0033329106643508674
476.24626,0.0031111017003990172
479.04364,0.0028892927501533053
481.84103,0.0026674837862014546
484.07894,0.0024456748222496045
484.63842,0.0022238658720038925
487.4358,0.0022238658720038925
489.67371,0.0020020569080520423
492.4711,0.001780247944100192
494.14953,0.0015584389938544795
497.50639,0.0014105663512199128
499.7443,0.0011887573872680626
503.10116,0.0010778529121452064
506.45803,0.0009299802695106397
509.81489,0.0007821076268760727
513.17176,0.0006712031517532166
516.52862,0.0005972668304359333
519.88548,0.0005602986766303604
523.24235,0.00048636235531307703
526.59921,0.0004124260339957937
529.95607,0.00037545788019022094
533.31294,0.00030152155887293753
536.6698,0.00030152155887293753
540.02666,0.00022758523755565414
543.38353,0.00022758523755565414
546.74039,0.00022758523755565414
550.09725,0.00022758523755565414
553.45412,0.00022758523755565414
556.81098,0.00022758523755565414
560.16784,0.00022758523755565414
563.52471,0.0001906170700439435
566.88157,0.0001906170700439435
573.5953,0.0001906170700439435
576.95216,0.0001906170700439435
580.30902,0.00015364891623837073
585.34432,0.0001906170700439435
587.58223,0.00011668074872666013
590.93909,0.00015364891623837073
594.29595,0.00011668074872666013
597.09334,0.00015364891623837073
600.4502,0.00011668074872666013
608.84236,0.0001906170700439435
616.11557,0.00015364891623837073
617.794,0.00015364891623837073
622.26982,0.00015364891623837073
625.62668,0.00015364891623837073
633.45936,0.00015364891623837073
639.61361,0.00011668074872666013
646.88682,0.00011668074872666013
