EventID,Edep_MeV,#PE,#NoisePE
65,0.10763886081500816,73,24
66,0.10772222052402115,57,11
67,0.10759790274483885,62,15
68,0.10768238283223529,44,7
69,0.10746691327369862,72,17
70,0.10776713344824701,73,13
71,0.1076298542320745,58,11
72,0.10770601702044207,67,22
73,0.10763007610867015,42,14
74,0.10761131348860258,52,11
75,0.10769856402411394,59,11
76,0.10763692123495494,58,10
77,0.10727283491294451,53,13
78,0.1075055509662236,67,18
79,0.10749691074533888,61,17
80,0.10767464367195959,67,22
81,0.10758229704034587,64,17
82,0.10783113472511431,56,12
83,0.04936028857420311,20,4
84,0.04936338115638829,33,10
85,0.04923701221358216,30,3
86,0.04143343813085502,26,7
87,0.10756364919390937,87,24
88,0.10758523409551835,71,20
89,0.10763980503562469,50,9
90,0.1076510700310276,49,11
91,0.10736475164924787,64,17
92,0.10756571304371562,44,14
93,0.10780023059196,63,17
94,0.107116142058951,47,9
95,0.1073149939230469,74,13
96,0.10759302556847725,60,19
97,0.10740882897489186,60,11
98,0.04917410941936586,31,8
99,0.10769223160091237,72,17
100,0.041311573376095895,39,16
101,0.10770921826659863,72,18
102,0.049331884404945965,41,13
103,0.10746740059705424,51,14
104,0.10777355694142987,59,9
105,0.10761889820735009,64,15
106,0.10781698420947199,61,12
107,0.1074875856847737,63,15
108,0.10757914162140282,54,11
109,0.10771839409937323,92,33
110,0.05026334186070772,28,9
111,0.04138647257450405,26,7
112,0.10767538016708175,58,16
113,0.04940167316235985,44,13
114,0.04915099024957574,31,10
115,0.10765272220286494,83,32
116,0.10774507083530493,54,9
117,0.10758319871244298,72,13
118,0.10736215451161356,63,18
119,0.10755709714232471,73,19
120,0.041573603899803906,27,11
121,0.10764901928863771,73,13
122,0.10757608149010059,70,26
123,0.1074416874501008,92,32
124,0.1074589105732169,65,17
125,0.1072798401386853,81,25
126,0.10740160801363496,49,6
127,0.1076037275092304,45,7
128,0.107523745980526,68,18
129,0.10733617231104475,60,12
130,0.10783145104648444,81,21
131,0.10738869779522035,72,28
132,0.10727377166038954,61,14
133,0.10761343461260428,71,22
134,0.10764889701685922,63,20
135,0.10748279768517661,83,22
136,0.10757169719351349,64,22
137,0.10803888694833884,58,11
138,0.10762188378356688,55,17
139,0.10772487121942644,70,22
140,0.1075783958712536,60,14
141,0.10749161874540539,68,22
142,0.1073238949204853,56,13
143,0.10764733436571776,86,19
144,0.10766262533818494,57,16
145,0.10779612213102478,63,14
146,0.10749776533605775,58,12
147,0.10753299764014,69,12
148,0.10792830000733297,66,19
149,0.10767948506658308,68,16
150,0.10760842450937225,46,7
151,0.10749012083218477,54,19
152,0.10744266331303706,65,20
153,0.10759006279099217,65,21
154,0.10753962013798406,66,18
155,0.10770360731476174,81,20
156,0.10738858737047463,64,18
157,0.10736230182423354,64,11
158,0.06693338296410961,42,12
159,0.1075513457356307,80,21
160,0.10768276784604683,66,16
161,0.05050156849286448,35,10
162,0.041745094797584904,34,11
163,0.043742868006537546,39,8
164,0.10771700592285961,62,12
165,0.10759378246867035,59,14
166,0.04147168120430294,31,11
167,0.10761307274225303,56,6
168,0.10748519178145495,53,8
169,0.10762633029162424,56,14
170,0.10764540127024089,80,21
171,0.10751839570670772,60,20
172,0.10741201689641271,70,24
173,0.1077744496594921,51,19
174,0.10745863301956933,75,15
175,0.049285573924269487,55,25
176,0.10783371411125717,73,18
177,0.10739827021267122,71,16
178,0.04922123699919668,29,7
179,0.10760652597775644,72,21
180,0.10741071982146175,59,15
181,0.10750021937539965,46,9
182,0.1076033852005894,77,25
183,0.10755926322035042,47,9
184,0.10764920201748818,67,21
185,0.10739482333966635,53,13
186,0.10758705700805107,65,12
187,0.04920622208074129,33,6
188,0.04906252755557698,29,7
189,0.10740250737898832,72,19
190,0.10765586940150768,63,18
191,0.10774353744581112,59,15
192,0.10768910953237627,88,31
193,0.049325197548512306,27,6
194,0.10751129145387152,69,19
195,0.10765577520308563,58,12
196,0.10749586943064074,57,9
197,0.10766332812519443,53,8
198,0.10769252096743544,74,22
199,0.10760467601646997,68,18
200,0.0491862655912256,33,10
201,0.10749410820556024,77,19
202,0.10773568688436308,66,16
203,0.10753512110182095,92,23
204,0.10751691334945679,52,14
205,0.0492241635250384,47,15
206,0.041203589151006734,24,6
207,0.10750078642570783,57,8
208,0.10740048043816462,72,20
209,0.10761267093680182,57,10
210,0.10755157042857146,66,18
211,0.10754091787915053,76,18
212,0.10757042673901754,63,12
213,0.04159282598725128,23,9
214,0.10759236529233629,52,12
215,0.1077108657867176,83,19
216,0.05041524965835582,31,4
217,0.10756507101445968,60,16
218,0.10764169625738476,54,18
219,0.10768378839550255,70,20
220,0.1077795253867168,73,20
221,0.10763152273146824,57,9
222,0.10759821154660443,71,21
223,0.10749545351108071,71,22
224,0.10766014947809802,64,20
225,0.10771984826111103,59,12
226,0.05052918111362815,35,10
227,0.03993564945127867,22,3
228,0.049426249614375174,32,9
229,0.10740108084627845,52,9
230,0.10754046266414251,72,18
231,0.04929512864646835,16,1
232,0.05044926372654306,38,10
233,0.04921354134469336,22,4
234,0.10769938186558056,80,23
235,0.10744239456604393,70,16
236,0.10758233478957721,70,14
237,0.10773167098514083,59,10
238,0.10762384905403775,58,12
239,0.10769552793513551,52,11
240,0.10755292100558995,97,32
241,0.10781688446827854,67,26
242,0.10735568149562846,77,12
243,0.10750099435936337,55,16
244,0.10764622367657321,69,20
245,0.10737664447924465,79,16
246,0.10732090233164351,78,23
247,0.10759035484291382,54,14
248,0.05049917387452532,30,8
